Volcano,Total,TP,FP,Cross,TP_pct
Calbuco,151,139,12,0,92.1
Chaiten,17,17,0,0,100.0
Puyehue-Cordon Caulle,7456,7331,125,0,98.3
Villarrica,122,0,0,122,0.0
